CBZ_acet  |  ACR_acet  |  CBZ_one_ACR_acet
TMP_acet  |  MAA_tetr  |  CBZ_one_ACR_dich
TMP_acet  |  MAA_tetr  |  CBZ_one_ACR_dich
TMP_acet  |  MAA_tetr  |  CBZ_one_ACR_dich
TMP_acet  |  MAA_tetr  |  CBZ_one_ACR_dime
TMP_acet  |  MAA_tetr  |  CBZ_one_ACR_dime
TMP_acet  |  MAA_tetr  |  CBZ_one_ACR_dime
TMP_acet  |  MAA_tetr  |  CBZ_one_ACR_dime
TMP_acet  |  MAA_tetr  |  CBZ_one_ACR_dime
TMP_acet  |  MAA_tetr  |  CBZ_one_ACR_dime
TMP_acet  |  MAA_tetr  |  CBZ_one_ACR_tetr
TMP_acet  |  MAA_tetr  |  CBZ_one_ACR_tetr
TMP_acet  |  MAA_tetr  |  CBZ_one_ACR_tetr
TMP_acet  |  MAA_tetr  |  CBZ_one_ACR_tetr
TMP_acet  |  MAA_tetr  |  CBZ_one_ACR_tetr
TMP_acet  |  MAA_tetr  |  CBZ_one_ACR_tetr
TMP_acet  |  MAA_tetr  |  CBZ_one_IA_aceto
TMP_acet  |  MAA_tetr  |  CBZ_one_IA_aceto
TMP_acet  |  MAA_tetr  |  CBZ_one_IA_aceto
TMP_acet  |  MAA_tetr  |  CBZ_one_IA_aceto
TMP_acet  |  MAA_tetr  |  CBZ_one_IA_aceto
TMP_acet  |  MAA_tetr  |  CBZ_one_IA_aceto
TMP_acet  |  MAA_tetr  |  CBZ_one_IA_dichl
TMP_acet  |  MAA_tetr  |  CBZ_one_IA_dichl
TMP_acet  |  MAA_tetr  |  CBZ_one_IA_dichl
TMP_acet  |  MAA_tetr  |  CBZ_one_IA_dichl
TMP_acet  |  MAA_tetr  |  CBZ_one_IA_dichl
TMP_acet  |  MAA_tetr  |  CBZ_one_IA_dichl
TMP_acet  |  MAA_tetr  |  CBZ_one_IA_dimet
TMP_acet  |  MAA_tetr  |  CBZ_one_IA_dimet
